Now Timestamp,API Timestamp,AQI,PM10
2024-05-27T15:50:01.172482,2024-05-27T21:00:00+07:00,53,53
2024-05-27T15:55:00.777151,2024-05-27T21:00:00+07:00,53,53
2024-05-27T16:00:01.385299,2024-05-27T21:00:00+07:00,53,53
2024-05-27T16:05:01.009748,2024-05-27T21:00:00+07:00,53,53
2024-05-27T16:10:00.587530,2024-05-27T21:00:00+07:00,53,53
2024-05-27T16:15:01.467075,2024-05-27T21:00:00+07:00,53,53
2024-05-27T16:20:01.089828,2024-05-27T22:00:00+07:00,63,63
2024-05-27T16:25:00.689926,2024-05-27T22:00:00+07:00,63,63
2024-05-27T16:30:01.289031,2024-05-27T22:00:00+07:00,63,63
2024-05-27T16:35:00.908360,2024-05-27T22:00:00+07:00,63,63
2024-05-27T16:40:00.477560,2024-05-27T22:00:00+07:00,63,63
2024-05-27T16:45:01.149501,2024-05-27T22:00:00+07:00,63,63
2024-05-27T16:50:00.743176,2024-05-27T22:00:00+07:00,63,63
2024-05-27T16:55:01.275836,2024-05-27T22:00:00+07:00,63,63
2024-05-27T17:00:00.892937,2024-05-27T22:00:00+07:00,63,63
2024-05-27T17:05:00.487792,2024-05-27T22:00:00+07:00,63,63
2024-05-27T17:10:01.072246,2024-05-27T22:00:00+07:00,63,63
2024-05-27T17:15:00.708171,2024-05-27T22:00:00+07:00,63,63
2024-05-27T17:20:01.611921,2024-05-27T22:00:00+07:00,63,63
2024-05-27T17:25:01.185166,2024-05-27T22:00:00+07:00,63,63
2024-05-27T17:30:00.747989,2024-05-27T22:00:00+07:00,63,63
2024-05-27T17:35:01.587425,2024-05-27T22:00:00+07:00,63,63
2024-05-27T17:40:01.168673,2024-05-27T22:00:00+07:00,63,63
2024-05-27T17:45:00.768810,2024-05-27T22:00:00+07:00,63,63
2024-05-27T17:50:01.368533,2024-05-27T22:00:00+07:00,63,63
2024-05-27T17:55:00.983022,2024-05-27T22:00:00+07:00,63,63
2024-05-27T18:00:00.601881,2024-05-27T22:00:00+07:00,63,63
2024-05-27T18:05:01.202254,2024-05-27T22:00:00+07:00,63,63
2024-05-27T18:10:00.760717,2024-05-27T22:00:00+07:00,63,63
2024-05-27T18:15:01.339410,2024-05-27T22:00:00+07:00,63,63
2024-05-27T18:20:00.886264,2024-05-27T22:00:00+07:00,63,63
2024-05-27T18:25:00.672085,2024-05-27T22:00:00+07:00,63,63
2024-05-27T18:30:01.292929,2024-05-27T22:00:00+07:00,63,63
2024-05-27T18:35:00.905000,2024-05-27T22:00:00+07:00,63,63
2024-05-27T18:40:00.791856,2024-05-27T22:00:00+07:00,63,63
2024-05-27T18:45:00.455216,2024-05-27T22:00:00+07:00,63,63
2024-05-27T18:50:01.041064,2024-05-27T22:00:00+07:00,63,63
2024-05-27T18:55:00.592814,2024-05-27T22:00:00+07:00,63,63
2024-05-27T19:00:01.141533,2024-05-27T22:00:00+07:00,63,63
2024-05-27T19:05:00.705199,2024-05-27T22:00:00+07:00,63,63
2024-05-27T19:10:01.274406,2024-05-27T22:00:00+07:00,63,63
2024-05-27T19:15:00.892375,2024-05-27T22:00:00+07:00,63,63
2024-05-27T19:20:00.472718,2024-05-28T01:00:00+07:00,77,77
2024-05-27T19:25:01.512482,2024-05-28T01:00:00+07:00,77,77
2024-05-27T19:30:01.051792,2024-05-28T01:00:00+07:00,77,77
2024-05-27T19:35:00.608924,2024-05-28T01:00:00+07:00,77,77
2024-05-27T19:40:01.209468,2024-05-28T01:00:00+07:00,77,77
2024-05-27T19:45:00.808855,2024-05-28T01:00:00+07:00,77,77
2024-05-27T19:50:00.450321,2024-05-28T01:00:00+07:00,77,77
2024-05-27T19:55:01.006198,2024-05-28T01:00:00+07:00,77,77
2024-05-27T20:00:00.579032,2024-05-28T01:00:00+07:00,77,77
